date,time,date_time,roadway,intersection,report_number
3/26/18,1551,3/26/18 15:51,DOBBS FERRY RD,,2018002935
3/29/18,920,3/29/18 9:20,TARRYTOWN,49 TARRYTOWN RD,2018003026
3/31/18,1554,3/31/18 15:54,HILLSDIE AV,I 287,2018003110
4/2/18,1755,4/2/18 17:55,407 TARRYTOWN RD,CROSSROADS SHOPP,2018003167
4/3/18,1723,4/3/18 17:23,GRASSLANDS RD,LEGION DR,2018003199
4/4/18,1732,4/4/18 17:32,JACKSON AV,SPRAIN RD,2018003231
4/5/18,1825,4/5/18 18:25,TARRYTOWN RD,WYOMING AV,2018003257
4/6/18,1215,4/6/18 12:15,TARRYTOWN RD,,2018003273
4/7/18,1550,4/7/18 15:50,JACKSON AV,GRASSY SPRAIN RD,2018003311
4/8/18,1042,4/8/18 10:42,JACKSON AV,GRASSY SPRAIN RD,2018003328
4/8/18,1208,4/8/18 12:08,N CENTRAL AV,,2018003332
4/10/18,910,4/10/18 9:10,DOBBS FERRY RD,VERNE PL,2018003400
4/11/18,1813,4/11/18 18:13,E HARTSDALE AV,,2018003453
4/12/18,905,4/12/18 9:05,DOBBS FERRY RD,HARTSDALE RD,2018003467
4/12/18,1513,4/12/18 15:13,TARRYTOWN RD,FAIR ST,2018003477
4/12/18,1740,4/12/18 17:40,JACKSON AV,,2018003485
4/14/18,1230,4/14/18 12:30,652 ARDSLEY RD,,2018003536
4/15/18,1418,4/15/18 14:18,W HARTSDALE AV,,2018003580
4/16/18,1300,4/16/18 13:00,JACKSON AV,SAW MILL RIVER RD,2018003614
4/17/18,910,4/17/18 9:10,BOWBELL RD,KATHWOOD RD,2018003651
4/19/18,844,4/19/18 8:44,DRIVEWAY,,2018003719
4/19/18,1913,4/19/18 19:13,DOBBS FERRY RD,W HARTSDALE AV,2018003749
4/20/18,946,4/20/18 9:46,S CENTRAL AV,,2018003764
4/22/18,1520,4/22/18 15:20,JACKSON AV,GRASSY SPRAIN RD,2018003841
4/23/18,1714,4/23/18 17:14,DOBBS FERRY RD,VERNE PL,2018003874
4/24/18,1810,4/24/18 18:10,JACKSON AV,SPRAIN RD,2018003918
4/26/18,752,4/26/18 7:52,383 GRASSLANDS RD,,2018003966
4/28/18,1012,4/28/18 10:12,TARRYTOWN RD,KNOLLWOOD RD,2018004038
4/28/18,1056,4/28/18 10:56,YELLOWSTONE AV,TARRYTOWN RD,2018004039
4/28/18,1700,4/28/18 17:00,JACKSON AV,SPRAIN RD,2018004050
4/29/18,1521,4/29/18 15:21,W HARTSDALE AV,,2018004075
5/1/18,1341,5/1/18 13:41,JACKSON AV,SPRAIN BROOK PKW,2018004140
5/1/18,1748,5/1/18 17:48,N CENTRAL AV,,2018004147
5/2/18,800,5/2/18 8:00,SAW MILL RIVER RD,,2018004161
5/2/18,1552,5/2/18 15:52,221 N CENTRAL AV,,2018004178
5/4/18,847,5/4/18 8:47,WHITE PLAINS RD,,2018004246
5/7/18,1700,5/7/18 17:00,W HARTSDALE AV,DOBBS FERRY RD,2018004392
5/8/18,838,5/8/18 8:38,DOBBS FERRY RD,SPENCER CT,2018004417
5/8/18,922,5/8/18 9:22,SPRAIN RD,,2018004419
5/8/18,1644,5/8/18 16:44,OLD SAW MILL RIVER RD,SAW MILL RD,2018004437
5/10/18,1350,5/10/18 13:50,AQUEDUCT RD,BRONX RIVER PKWY,2018004515
5/10/18,1400,5/10/18 14:00,BONNIE BRIAR RD,OAKRIDGE RD,2018004519
5/10/18,1745,5/10/18 17:45,TARRYTOWN RD,287,2018004525
5/10/18,2134,5/10/18 21:34,TARRYTOWN RD,HILLSIDE AV,2018004529
5/11/18,1515,5/11/18 15:15,DOBBS FERRY RD,HARTSDALE RD,2018004552
5/11/18,1506,5/11/18 15:06,TARRYTOWN RD,,2018004553
5/11/18,1651,5/11/18 16:51,JACKSON AV,GRASSY SPRAIN RD,2018004556
5/13/18,1345,5/13/18 13:45,KNOLLWOOD RD,DOBBS FERRY RD,2018004612
5/14/18,1450,5/14/18 14:50,JACKSON AV,SPRAIN BROOK PKW,2018004655
5/15/18,1425,5/15/18 14:25,ARDSLEY RD,,2018004702
5/15/18,1612,5/15/18 16:12,WAREHOUSE LN,SAW MILL RIVER RD,2018004705
5/16/18,1128,5/16/18 11:28,ARDSLEY RD,S CENTRAL AV,2018004728
5/16/18,1343,5/16/18 13:43,VIRGINIA RD,BRONX RIVER PKWY,2018004731
5/17/18,1501,5/17/18 15:01,KNOLLWOOD RD,,2018004770
5/17/18,1528,5/17/18 15:28,E HARTSDALE AV,ROCKLEDGE RD,2018004772
5/17/18,1642,5/17/18 16:42,TARRYTOWN RD,,2018004776
5/19/18,1400,5/19/18 14:00,ARDSLEY RD,,2018004835
5/19/18,1525,5/19/18 15:25,TARRYTOWN RD,,2018004836
5/19/18,1737,5/19/18 17:37,N CENTRAL AV,,2018004840
5/19/18,1835,5/19/18 18:35,JACKSON AV,GRASSY SPRAIN RD,2018004842
5/21/18,1756,5/21/18 17:56,SAW MILL RIVER RD,,2018004910
5/21/18,1945,5/21/18 19:45,DOBBS FERRY RD,NEW ST,2018004913
5/22/18,1010,5/22/18 10:10,KNOLLWOOD RD,TARRYTOWN RD,2018004931
5/23/18,850,5/23/18 8:50,BELLWOOD RD,,2018004958
5/23/18,1300,5/23/18 13:00,TARRYTOWN RD,DOBBS FERRY RD,2018004971
5/24/18,1559,5/24/18 15:59,GRASSLANDS RD,,2018005014
5/27/18,1716,5/27/18 17:16,TARRYTOWN RD,,2018005120
5/29/18,935,5/29/18 9:35,SAW MILL RIVER RD,LAWRENCE ST,2018005174
5/30/18,722,5/30/18 7:22,OAK RIDGE RD,,2018005210
5/31/18,1629,5/31/18 16:29,KNOLLWOOD RD,N MANOR DR,2018005270
6/1/18,737,6/1/18 7:37,OLD SAW MILL RIVER RD,,2018005291
6/1/18,1226,6/1/18 12:26,ARDSLEY RD,,2018005305
6/2/18,1952,6/2/18 19:52,N CENTRAL AV,,2018005358
6/5/18,705,6/5/18 7:05,TARRYTOWN RD,KNOLLWOOD RD,2018005414
6/5/18,1535,6/5/18 15:35,FORT HILL RD,JACKSON AV,2018005427
6/5/18,1657,6/5/18 16:57,KNOLLWOOD ROAD EXT,KNOLLWOOD RD,2018005431
6/5/18,1812,6/5/18 18:12,CENTRAL AV,341 S CENTRAL AV,2018005440
6/6/18,910,6/6/18 9:10,KNOLLWOOD RD,OLD KNOLLWOOD R,2018005456
6/7/18,1300,6/7/18 13:00,DOBBS FERRY RD,TARRYTOWN RD,2018005508
6/10/18,1423,6/10/18 14:23,E HARTSDALE,,2018005609
6/11/18,1545,6/11/18 15:45,SAW MILL RIVER RD,SECOR RD,2018005648
6/11/18,1749,6/11/18 17:49,GRASSLANDS RD,ARTHUR LN,2018005652
